Rep	Pop	Gen	Eco	Plot	Subplot	Treatment	Surv_1	Surv_2	Surv_3	Surv_4	Surv_5	Surv_6	Surv_7	Mass
1	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0
2	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.66
3	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	1.14
4	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	1.31
5	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	1.33
6	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.6544
7	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	1.3
8	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	2.06
9	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	1.2612
10	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	2.05
11	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.0573
12	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	1.07
13	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.3051
14	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.1258
15	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	1.1538
16	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	1.7597
17	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.3167
18	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.4
19	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	1.03
20	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.0877
21	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.1156
22	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.1597
23	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	2.19
24	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.0744
25	LMC-24	G1	I	1	B	Exclosure	1	1	1	1	1	1	1	0.91
26	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
27	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	1	0
28	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
29	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	1	0
30	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	1	0
31	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	1	0.1709
32	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	1	0.096
33	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	1	0.4729
34	LMC-24	G1	I	1	A	Control	1	1	1	1	1	0	0	0
35	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	1	0.079
36	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	1	0
37	LMC-24	G1	I	1	A	Control	1	1	1	0	0	0	0	0
38	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
39	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
40	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
41	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
42	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
43	LMC-24	G1	I	1	A	Control	1	1	1	1	1	0	0	0
44	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
45	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
46	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
47	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
48	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	1	0.1365
49	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
50	LMC-24	G1	I	1	A	Control	1	1	1	1	1	1	0	0
51	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0
52	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	0	0
53	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	0	0
54	LMC-24	G1	I	2	A	Control	1	0	0	0	0	0	0	0
55	LMC-24	G1	I	2	A	Control	1	1	1	1	0	0	0	0
56	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0
57	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	0	0
58	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	0	0
59	LMC-24	G1	I	2	A	Control	1	1	1	1	1	0	0	0
60	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	0	0
61	LMC-24	G1	I	2	A	Control	1	0	0	0	0	0	0	0
62	LMC-24	G1	I	2	A	Control	1	1	0	0	0	0	0	0
63	LMC-24	G1	I	2	A	Control	1	1	1	0	0	0	0	0
64	LMC-24	G1	I	2	A	Control	1	1	1	0	0	0	0	0
65	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0
66	LMC-24	G1	I	2	A	Control	1	1	1	0	0	0	0	0
67	LMC-24	G1	I	2	A	Control	1	1	1	0	0	0	0	0
68	LMC-24	G1	I	2	A	Control	1	1	1	1	1	0	0	0
69	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	0	0
70	LMC-24	G1	I	2	A	Control	1	1	1	0	0	0	0	0
71	LMC-24	G1	I	2	A	Control	1	1	1	1	1	0	0	0
72	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0
73	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	0	0
74	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	0	0
75	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	0	0
76	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	1.89
77	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	1.43
78	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	2.26
79	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	9.81
80	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	4.43
81	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	3.95
82	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	3.62
83	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	0
84	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	0
85	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	0.34
86	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	12.46
87	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	1.12
88	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	3.92
89	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	1.16
90	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	3.86
91	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	0.99
92	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	2.87
93	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	0.86
94	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	8.71
95	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	5.15
96	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	0.3006
97	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	0.2835
98	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	5.34
99	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	0.6719
100	LMC-24	G1	I	2	B	Exclosure	1	1	1	1	1	1	1	2.9
101	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
102	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	0	0
103	LMC-24	G1	I	3	B	Control	1	1	0	0	0	0	0	0
104	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
105	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
106	LMC-24	G1	I	3	B	Control	1	1	1	0	0	0	0	0
107	LMC-24	G1	I	3	B	Control	1	1	1	0	0	0	0	0
108	LMC-24	G1	I	3	B	Control	1	1	1	1	0	0	0	0
109	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
110	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
111	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
112	LMC-24	G1	I	3	B	Control	1	1	0	0	0	0	0	0
113	LMC-24	G1	I	3	B	Control	1	0	0	0	0	0	0	0
114	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
115	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
116	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
117	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
118	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
119	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
120	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
121	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
122	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0
123	LMC-24	G1	I	3	B	Control	1	1	1	1	1	0	0	0
124	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	0	0
125	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
126	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.28
127	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0
128	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.1151
129	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	0	0
130	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.95
131	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.0739
132	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.12
133	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	0	0
134	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.0878
135	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.11
136	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.0552
137	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.0461
138	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.06
139	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0
140	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.07
141	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.0882
142	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	1	0.1
143	LMC-24	G1	I	3	A	Exclosure	1	1	1	1	1	1	0	0
