Rep	Pop	Gen	Eco	Plot	Subplot	Treatment	Leaf_3	Stalk_3	Herb_1	Leaf_4	Stalk_4	Herb_2	Leaf_5	Stalk_5	Herb_3	Leaf_6	Stalk_6	Herb_4	Leaf_7	Stalk_7	Herb_5
1	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	LMC-24	G1	I	1	B	Exclosure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
