Rep	Pop	Gen	Eco	Plot	Subplot	Treatment	Surv_1	Surv_2	Surv_3	Surv_4	Surv_5	Surv_6	Surv_7	Mass
151	LMC-24	G1	I	1	B	Control	1	0	0	0	0	0	0	0
152	LMC-24	G1	I	1	B	Control	1	1	1	1	1	1	1	0.0084
153	LMC-24	G1	I	1	B	Control	0	0	0	0	0	0	0	0
154	LMC-24	G1	I	1	B	Control	0	0	0	0	0	0	0	0
155	LMC-24	G1	I	1	B	Control	1	0	0	0	0	0	0	0
156	LMC-24	G1	I	1	B	Control	1	1	1	1	1	1	1	0.0104
157	LMC-24	G1	I	1	B	Control	1	1	1	1	1	1	1	0.0068
158	LMC-24	G1	I	1	B	Control	1	1	1	1	1	1	1	0.0119
159	LMC-24	G1	I	1	B	Control	1	1	1	1	1	1	0	0
160	LMC-24	G1	I	1	B	Control	0	0	0	0	0	0	0	0
161	LMC-24	G1	I	1	B	Control	1	1	0	0	0	0	0	0
163	LMC-24	G1	I	1	B	Control	1	1	1	1	1	0	0	0
164	LMC-24	G1	I	1	B	Control	1	1	1	1	1	1	0	0
167	LMC-24	G1	I	1	B	Control	0	0	0	0	0	0	0	0
168	LMC-24	G1	I	1	B	Control	1	1	1	1	1	1	1	0.031
169	LMC-24	G1	I	1	B	Control	1	1	1	1	1	1	0	0
170	LMC-24	G1	I	1	B	Control	1	1	1	1	1	1	1	0.0044
171	LMC-24	G1	I	1	B	Control	0	0	0	0	0	0	0	0
173	LMC-24	G1	I	1	B	Control	1	1	1	1	1	1	1	0.021
174	LMC-24	G1	I	1	B	Control	1	1	1	1	1	1	1	0.0019
175	LMC-24	G1	I	1	B	Control	0	0	0	0	0	0	0	0
226	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0148
227	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0184
228	LMC-24	G1	I	2	A	Control	1	1	0	0	0	0	0	0
229	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0314
230	LMC-24	G1	I	2	A	Control	1	0	0	0	0	0	0	0
231	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0125
232	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0026
233	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0062
234	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0044
235	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0046
236	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0049
237	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0038
238	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0092
239	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.016
241	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0479
242	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0044
243	LMC-24	G1	I	2	A	Control	1	0	0	0	0	0	0	0
244	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.016
245	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.012
246	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0131
247	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0034
250	LMC-24	G1	I	2	A	Control	1	1	1	1	1	1	1	0.0036
251	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0256
252	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.035
253	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0459
254	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0055
255	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.014
256	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.131
257	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0072
258	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0185
259	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0145
260	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0057
261	LMC-24	G1	I	3	B	Control	0	0	0	0	0	0	0	0
262	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0171
263	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0266
264	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0058
265	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0179
266	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0039
267	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0099
268	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0262
269	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0159
270	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0096
271	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0147
272	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0167
273	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0156
274	LMC-24	G1	I	3	B	Control	1	1	1	1	1	1	1	0.0034
